date,sha,human_market,human_market_n,human_dataset,human_dataset_n,human_overall,human_rank,best_ai_market,best_ai_market_n,best_ai_model,n_entries,n_ai_above_human,brier_index_era
2026-01-08,5dae31d6eb,0.035,55,0.13,521,0.083,1,0.147,77,claude-3-5-haiku-20241022,261,19,False
2026-01-09,d88da74c76,0.035,55,0.13,521,0.082,1,0.147,77,claude-3-5-haiku-20241022,261,19,False
2026-01-10,959a9c39be,0.035,55,0.13,521,0.082,1,0.147,77,claude-3-5-haiku-20241022,261,19,False
2026-01-11,00c66f3e37,0.035,55,0.13,521,0.082,1,0.147,77,claude-3-5-haiku-20241022,261,19,False
2026-01-12,6fdfed074e,0.034,55,0.131,521,0.082,1,0.145,78,claude-3-5-haiku-20241022,267,19,False
2026-01-17,33dd258dad,0.037,55,0.131,521,0.084,1,0.148,84,claude-3-5-haiku-20241022,267,19,False
2026-01-18,acc5ea208d,0.037,55,0.131,521,0.084,1,0.148,84,claude-3-5-haiku-20241022,267,19,False
2026-01-19,5ffd61b537,0.037,55,0.131,521,0.084,1,0.148,84,claude-3-5-haiku-20241022,267,19,False
2026-01-20,ca6418c70b,0.04,56,0.131,521,0.085,1,0.153,86,claude-3-5-haiku-20241022,267,19,False
2026-01-21,0e066c4092,0.04,56,0.131,521,0.085,1,0.153,87,claude-3-5-haiku-20241022,267,19,False
2026-01-22,5c5687fd3f,0.041,56,0.131,521,0.086,1,0.154,87,claude-3-5-haiku-20241022,267,19,False
2026-01-24,d4ba9e44bc,0.04,56,0.131,521,0.086,1,0.153,87,claude-3-5-haiku-20241022,267,19,False
2026-01-25,725e7c4b43,0.04,56,0.131,521,0.086,1,0.153,87,claude-3-5-haiku-20241022,267,19,False
2026-01-26,ab836d4a02,0.04,56,0.131,521,0.085,1,0.153,87,claude-3-5-haiku-20241022,270,20,False
2026-01-27,2044c69402,0.039,56,0.131,521,0.085,1,0.153,88,claude-3-5-haiku-20241022,270,20,False
2026-01-28,26a36af126,0.039,56,0.131,521,0.085,1,0.153,88,claude-3-5-haiku-20241022,270,20,False
2026-01-29,f8567e891e,0.039,56,0.131,521,0.085,1,0.153,88,claude-3-5-haiku-20241022,270,20,False
2026-01-30,b35635c316,0.04,56,0.131,521,0.086,1,0.154,89,claude-3-5-haiku-20241022,270,20,False
2026-02-01,57efa0bbb3,0.041,56,0.132,521,0.086,1,0.154,89,claude-3-5-haiku-20241022,270,20,False
2026-02-04,97f8f6f5e9,0.041,56,0.131,521,0.086,1,0.154,89,claude-3-5-haiku-20241022,270,20,False
2026-02-07,debec5d0a4,0.04,56,0.131,521,0.086,1,0.154,89,claude-3-5-haiku-20241022,270,20,False
2026-02-08,dc3af5ead6,0.04,56,0.131,521,0.086,1,0.154,89,claude-3-5-haiku-20241022,270,20,False
2026-02-09,078c6c6b72,0.038,56,0.131,521,0.085,1,0.157,249,vega,273,21,False
2026-02-13,540cb81626,0.04,56,0.131,521,0.086,1,0.158,251,vega,273,21,False
2026-02-16,bc504ed4b2,0.04,56,0.132,521,0.086,1,0.158,251,vega,273,21,False
2026-02-17,b3d5f6f317,0.04,56,0.131,521,0.086,1,0.158,251,vega,273,21,False
2026-02-18,8fccf96b8f,0.04,56,0.131,521,0.086,1,0.158,251,vega,273,21,False
2026-02-19,1c8608743a,0.04,56,0.131,521,0.086,1,0.158,251,vega,273,21,False
2026-02-20,f283e2054f,0.04,56,0.132,521,0.086,1,0.158,251,vega,273,21,False
2026-02-21,828863e642,0.04,56,0.132,521,0.086,1,0.157,252,vega,273,21,False
2026-02-22,b0448d8494,0.04,56,0.132,521,0.086,1,0.158,253,vega,273,21,False
2026-02-23,966c2756df,0.04,56,0.132,521,0.086,1,0.158,253,vega,276,22,False
2026-02-24,92e98da5b4,0.04,56,0.132,521,0.086,1,0.157,254,vega,276,22,False
2026-02-25,5450550ffc,0.04,56,0.132,521,0.086,1,0.157,254,vega,276,22,False
2026-02-26,34be85f123,0.041,56,0.132,521,0.086,1,0.164,256,vega,276,22,False
2026-02-27,060964d877,0.041,56,0.132,521,0.086,1,0.164,256,vega,276,22,False
2026-02-28,1bd50bae35,0.041,56,0.132,521,0.086,1,0.164,256,vega,274,22,False
2026-03-01,b3a9dff317,0.041,56,0.132,521,0.087,1,0.164,256,vega,274,22,False
2026-03-02,3b7085a5db,0.041,56,0.132,521,0.086,1,0.163,257,vega,274,22,False
2026-03-03,de1bf5b09f,0.041,56,0.132,521,0.086,1,0.163,257,vega,274,22,False
2026-03-04,9d55f49d7e,79.8,56,63.6,521,70.6,1,75.4,189,ensemble_2_crowdadj,274,0,True
2026-03-06,9b3213ac66,79.9,56,63.6,521,70.6,1,75.5,190,ensemble_2_crowdadj,271,0,True
2026-03-07,8ad6761b3a,79.9,56,63.6,521,70.6,1,75.5,190,ensemble_2_crowdadj,271,0,True
2026-03-09,72dd948ea5,79.9,56,63.6,521,70.6,1,75.5,191,ensemble_2_crowdadj,271,0,True
2026-03-11,642586e796,79.9,56,63.6,521,70.6,1,75.5,192,ensemble_2_crowdadj,271,0,True
2026-03-12,30feb6a57c,79.9,56,63.6,521,70.6,1,75.5,192,ensemble_2_crowdadj,271,0,True
2026-03-13,862e34e593,79.9,56,63.6,521,70.6,1,75.5,192,Cassi ensemble_2_crowdadj,271,0,True
2026-03-14,d65d21d1c9,79.9,56,63.6,521,70.6,1,75.5,193,Cassi ensemble_2_crowdadj,271,0,True
2026-03-15,21ac12d4b6,79.9,56,63.6,521,70.6,1,75.5,193,Cassi ensemble_2_crowdadj,271,0,True
2026-03-16,ba4b68bac8,80.0,56,63.6,521,70.6,1,75.5,193,Cassi ensemble_2_crowdadj,271,0,True
2026-03-17,568484cc10,80.0,56,63.6,521,70.6,1,75.6,194,Cassi ensemble_2_crowdadj,271,0,True
2026-03-19,dbb21443d7,80.0,56,63.6,521,70.6,1,75.6,195,Cassi ensemble_2_crowdadj,271,0,True
2026-03-20,ef459bd6ca,80.0,56,63.8,521,70.8,1,75.7,195,Cassi ensemble_2_crowdadj,267,0,True
2026-03-21,0585d667e5,80.0,56,63.8,521,70.8,1,75.7,195,Cassi ensemble_2_crowdadj,267,0,True
2026-03-22,e616af5cd5,80.0,56,63.7,521,70.7,1,75.7,196,Cassi ensemble_2_crowdadj,267,0,True
2026-03-23,f3613bd868,80.0,56,63.7,521,70.7,1,75.7,196,Cassi ensemble_2_crowdadj,267,0,True
2026-03-24,4a3cc22dd5,80.0,56,63.8,521,70.7,1,75.7,196,Cassi ensemble_2_crowdadj,267,0,True
2026-03-25,05f2f5e3f7,80.0,56,63.8,521,70.7,1,75.7,196,Cassi ensemble_2_crowdadj,267,0,True
2026-03-26,139df849a3,80.0,56,63.8,521,70.7,1,75.7,196,Cassi ensemble_2_crowdadj,267,0,True
2026-03-27,cdc5a2fedb,80.0,56,63.8,521,70.7,1,75.7,196,Cassi ensemble_2_crowdadj,267,0,True
2026-03-28,f7cfa3977f,80.1,56,63.9,521,70.9,1,75.7,196,Cassi ensemble_2_crowdadj,269,0,True
2026-03-29,a5f020fa2c,80.2,56,63.9,521,70.9,1,75.8,198,Cassi ensemble_2_crowdadj,269,0,True
2026-03-30,323668cd7c,80.2,56,63.9,521,70.9,1,75.8,199,Cassi ensemble_2_crowdadj,269,0,True
2026-03-31,ee0e5e4593,80.2,56,63.9,521,70.9,1,75.8,199,Cassi ensemble_2_crowdadj,269,0,True
2026-04-01,749dff69c8,80.2,56,63.9,521,70.9,1,75.8,199,Cassi ensemble_2_crowdadj,269,0,True
2026-04-02,95dfedcdc4,80.2,56,63.8,521,70.8,1,75.8,200,Cassi ensemble_2_crowdadj,269,0,True
2026-04-03,590f4e6089,80.2,56,63.8,521,70.8,1,75.8,200,Cassi ensemble_2_crowdadj,269,0,True
2026-04-04,47f8bf3e79,80.2,56,63.8,521,70.8,1,75.8,200,Cassi ensemble_2_crowdadj,269,0,True
2026-04-06,6866993572,80.2,56,63.8,521,70.8,1,75.8,200,Cassi ensemble_2_crowdadj,269,0,True
2026-04-07,8b0620c146,80.2,56,63.8,521,70.8,1,75.8,200,Cassi ensemble_2_crowdadj,269,0,True
2026-04-09,acf40d135c,80.3,56,63.9,521,70.9,1,75.8,200,Cassi ensemble_2_crowdadj,269,0,True
2026-04-10,12e911a3c4,80.3,56,63.9,521,70.9,1,75.8,200,Cassi ensemble_2_crowdadj,269,0,True
2026-04-11,257c49b31a,80.3,56,63.9,521,70.9,1,75.8,200,Cassi ensemble_2_crowdadj,269,0,True
2026-04-12,50f50fcfcc,80.3,56,63.9,521,70.9,1,75.8,200,Cassi ensemble_2_crowdadj,269,0,True
2026-04-13,43c23dca44,80.3,56,63.9,521,70.9,1,75.8,200,Cassi ensemble_2_crowdadj,269,0,True
2026-04-14,d44d08da42,80.2,56,63.8,521,70.8,1,75.8,200,Cassi ensemble_2_crowdadj,269,0,True
2026-04-15,5379e4e7fd,80.2,56,63.8,521,70.8,1,75.8,200,Cassi ensemble_2_crowdadj,269,0,True
2026-04-16,808add553e,80.2,56,63.8,521,70.8,1,75.8,200,Cassi ensemble_2_crowdadj,269,0,True
2026-04-17,de4124c657,80.2,56,63.8,521,70.8,1,75.8,200,Cassi ensemble_2_crowdadj,269,0,True
2026-04-18,497c420dd6,80.2,56,63.8,521,70.8,1,75.8,200,Cassi ensemble_2_crowdadj,269,0,True
2026-04-19,c80a61c111,80.2,56,63.8,521,70.8,1,75.8,200,Cassi ensemble_2_crowdadj,269,0,True
2026-04-20,6c7ac1bfd5,80.1,56,63.7,521,70.7,1,75.9,68,excited-seal,283,0,True
2026-04-21,ed73be79fd,80.1,56,63.7,521,70.8,1,76.0,68,excited-seal,283,0,True
2026-04-24,145037faca,80.1,56,63.7,521,70.8,1,76.0,70,excited-seal,283,0,True
2026-04-26,cbb2ce1f5c,80.1,56,63.7,521,70.7,1,76.0,70,excited-seal,283,0,True
2026-04-27,20b788494e,80.1,56,63.7,521,70.7,1,76.0,71,excited-seal,283,0,True
2026-04-28,3de00028e3,80.2,56,63.7,521,70.7,1,76.0,72,excited-seal,283,0,True
2026-04-29,75a0240ecf,80.0,56,63.7,521,70.7,1,75.9,74,excited-seal,283,0,True
2026-04-30,3784f22705,80.1,56,63.7,521,70.7,1,75.9,76,excited-seal,283,0,True
2026-05-01,d026ae85ee,80.1,56,63.7,521,70.7,1,75.9,77,excited-seal,283,0,True
2026-05-02,2bfb0af809,80.0,56,63.7,521,70.7,1,75.9,77,excited-seal,283,0,True
2026-05-08,a941bb4149,79.7,56,63.8,521,70.7,1,75.6,180,excited-seal,289,0,True
2026-05-11,4edce7af54,79.6,56,63.8,521,70.6,1,75.5,188,excited-seal,289,0,True
