model,n,mean_adj,lo,hi,verdict
Anton,201,0.01510410973202638,0.003829140942545889,0.02766916149136916,below market
BLF,107,0.0031262739567468117,-0.02403627351743811,0.03038488898781515,indistinguishable
CAIR_01,90,0.012127085097452287,-0.004059510257323392,0.033010302285980286,indistinguishable
CAIR_02,90,0.012127085097452287,-0.00363890607522412,0.03269220155830383,indistinguishable
CAIR_03,90,0.012127085097452287,-0.00529624110735919,0.03147476338545723,indistinguishable
CAIR_0705_01,60,0.01946025747384791,0.004052986835637692,0.03624099505771501,below market
CAIR_0705_02,60,0.015304619442181245,-0.0051347389176194394,0.03272771206122358,indistinguishable
CAIR_0705_03,60,-0.006576528828652092,-0.017236780441145648,0.00030546459112487813,indistinguishable
CLOUD_01,90,0.0030687600974522882,-0.0043746747328845806,0.01543469044289548,indistinguishable
CLOUD_03,90,0.002072025541896731,-0.011057164674593445,0.018361615020410588,indistinguishable
Cassi ensemble_2,216,0.01300808928048544,-0.0022820674548562512,0.030179213271046685,indistinguishable
Cassi ensemble_2_crowdadj,216,-0.0024043929898849297,-0.013260957170245252,0.007093851746283465,indistinguishable
Cassi-2026-05-10,102,-0.02196306589187596,-0.04028472250140322,-0.005496699943225478,beats market
Claude-2.1 (scratchpad with freeze values),313,0.14223992306479866,0.11298727785562163,0.1710157743140727,below market
Claude-2.1 (scratchpad with news with freeze values),392,0.13983991516510139,0.11754943057858198,0.1626529853729592,below market
Claude-2.1 (scratchpad with news),346,0.15262175862264352,0.12839366879463213,0.17858353104144903,below market
Claude-2.1 (scratchpad),236,0.14485025955464506,0.11596733014603801,0.17215728302414235,below market
Claude-2.1 (superforecaster with news 1),319,0.20084673449462362,0.17241629122086674,0.22940973424601319,below market
Claude-2.1 (superforecaster with news 2),284,0.18863024918433235,0.15819881556860496,0.21823499248499373,below market
Claude-2.1 (superforecaster with news 3),463,0.18195874403753154,0.15932230734947123,0.20360559140966922,below market
Claude-2.1 (zero shot with freeze values),559,0.135717104542361,0.11152021900695579,0.15971537362201887,below market
Claude-2.1 (zero shot),556,0.1718838319221199,0.1533099470659582,0.19056919543470094,below market
Claude-3-5-Sonnet-20240620 (scratchpad with SECOND news),564,0.10501417949791707,0.08866113462280815,0.12124159790119791,below market
Claude-3-5-Sonnet-20240620 (scratchpad with freeze values),5386,0.01918801730948415,0.01649010231502243,0.021996303037454448,below market
Claude-3-5-Sonnet-20240620 (scratchpad with news with freeze values),565,0.06806979468790561,0.05413539118944704,0.08193668754494986,below market
Claude-3-5-Sonnet-20240620 (scratchpad with news),563,0.09491557400517923,0.08069963959141487,0.11039359356609137,below market
Claude-3-5-Sonnet-20240620 (scratchpad),5402,0.06948775923314246,0.06554182269051785,0.07331475090520016,below market
Claude-3-5-Sonnet-20240620 (superforecaster with news 1),563,0.10262042382886359,0.08478264363153873,0.1197944294324906,below market
Claude-3-5-Sonnet-20240620 (superforecaster with news 2),563,0.13811759320809255,0.11862770763991132,0.1577777202731612,below market
Claude-3-5-Sonnet-20240620 (superforecaster with news 3),563,0.10064651641316102,0.0842697114407795,0.11698900907084116,below market
Claude-3-5-Sonnet-20240620 (zero shot with freeze values),5934,0.029217009350064962,0.025734605838887946,0.03272692787909194,below market
Claude-3-5-Sonnet-20240620 (zero shot),5850,0.07241083464441085,0.06787696886832659,0.0770010946528391,below market
Claude-3-5-Sonnet-20241022 (scratchpad with freeze values),3022,0.021123761275820618,0.017115725767451996,0.02506275198064756,below market
