model,model_org,n,pct_imputed,corr,pct_within_0p5pp,pct_within_2pp,median_abs_dev,brier,brier_market,brier_vs_market
futuresearch_v3,FutureSearch,60.0,0.0,0.9961659015364001,20.0,58.333333333333336,0.013698518449999988,0.07124333333333333,0.07202398133598543,-0.0007806480026521095
voicetree-decisionflow-v1,Voicetree,107.0,0.0,0.9954607907743693,57.009345794392516,81.30841121495327,0.002,0.14693022670337383,0.14725894712022777,-0.0003287204168539448
WIND_03,haoxin1998,60.0,0.0,0.9951399682433191,33.33333333333333,75.0,0.008894939699999976,0.06662890624775,0.07202398133598543,-0.005395075088235432
voicetree-decisionflow-v1_scurve,Voicetree,107.0,0.0,0.9941999538207044,3.7383177570093453,14.953271028037381,0.042612350699999996,0.14679463280362617,0.14725894712022777,-0.0004643143166015995
CAIR_0705_03,hliu763,60.0,0.0,0.994167721995404,36.666666666666664,80.0,0.007000000000000003,0.06544745250733333,0.07202398133598543,-0.006576528828652103
voicetree-decisionflow-v0,Voicetree,119.0,0.0,0.9920745284594481,62.18487394957983,84.03361344537815,4.191000000375311e-07,0.09582194785304768,0.09869508054910643,-0.0028731326960587528
voicetree-decisionflow-v0_green,Voicetree,119.0,0.0,0.9920363131166563,4.201680672268908,46.21848739495798,0.02,0.0955080035134605,0.09869508054910643,-0.003187077035645927
voicetree-decisionflow-v0_red,Voicetree,119.0,0.0,0.9914191432330461,5.88235294117647,19.327731092436977,0.030000000000000013,0.09777888143996424,0.09869508054910643,-0.0009161991091421878
blue-turtle,Google DeepMind,60.0,0.0,0.9903790729145806,58.333333333333336,81.66666666666667,0.0033000000000000026,0.056250303999999994,0.058830028203954686,-0.002579724203954692
futuresearch_ec_v3,FutureSearch,60.0,0.0,0.9899954688234376,20.0,55.00000000000001,0.014691621299999971,0.06795,0.07202398133598543,-0.004073981335985438
futuresearch_gec_v3,FutureSearch,60.0,0.0,0.9895863143794889,20.0,51.66666666666667,0.01999999999999998,0.06880499999999999,0.07202398133598543,-0.0032189813359854436
GLM-4.7 (zero shot with freeze values),Z.ai,57.0,89.01734104046243,0.9895005938487613,31.57894736842105,63.1578947368421,0.01308518580000001,0.07757349999999999,0.062053722615814065,0.015519777384185925
red-lizard,Google DeepMind,60.0,0.0,0.9890331814818263,66.66666666666666,81.66666666666667,0.0017499999999999998,0.05652480833333333,0.058830028203954686,-0.002305219870621357
mantic-2026-01-16,Mantic,179.0,0.0,0.9886322171069676,24.022346368715084,74.86033519553072,0.009000000000000001,0.05705911371348044,0.05725492300702127,-0.0001958092935408287
green-plant,Google DeepMind,60.0,0.0,0.9868764263606908,46.666666666666664,75.0,0.005535565899999997,0.05613211050000001,0.058830028203954686,-0.0026979177039546734
foresight-v4,LightningRodLabs,60.0,0.0,0.9849048919761784,8.333333333333332,25.0,0.040250000000000015,0.08253091666666669,0.07202398133598543,0.010506935330681255
Claude-3-7-Sonnet-20250219 (scratchpad with freeze values),Anthropic,3031.0,1.5909090909090908,0.9846036780568171,41.801385681293304,68.65720884196634,0.0077456821,0.058110511416257206,0.05418446871538036,0.003926042700876847
GLM-4.6 (zero shot with freeze values),Z.ai,124.0,72.38307349665925,0.9837187732041563,41.12903225806452,78.2258064516129,0.007498867350000018,0.033966367016129026,0.027393839827281007,0.006572527188848019
CLOUD_01,haoxin1998,90.0,0.0,0.9836469786418236,46.666666666666664,81.11111111111111,0.005143466750000002,0.07202229166666665,0.06895353156921438,0.003068760097452272
foresight-v4 (low effort),LightningRodLabs,60.0,0.0,0.9833469768641672,3.3333333333333335,31.666666666666664,0.03966914170000001,0.08361423333333333,0.07202398133598543,0.011590251997347895
Gemini-2.5-Flash-Preview-04-17 (scratchpad with freeze values),Google,423.0,2.7586206896551726,0.9795401033070557,43.02600472813239,67.13947990543736,0.008264822199999999,0.06921389502362153,0.058340283438846965,0.010873611584774567
CAIR_0705_01,hliu763,60.0,0.0,0.978716187244781,31.666666666666664,68.33333333333333,0.010000000000000009,0.09148423880983335,0.07202398133598543,0.019460257473847914
Grok-4-0709 (zero shot with freeze values),xAI,669.0,0.0,0.9786054098693311,45.889387144992526,76.68161434977578,0.005500000000000005,0.04524620494597108,0.04218599557655333,0.0030602093694177476
CLOUD_03,haoxin1998,90.0,0.0,0.9778176889547288,20.0,58.88888888888889,0.015000000000000013,0.07102555711111111,0.06895353156921438,0.002072025541896727
DeepSeek-R1 (scratchpad with freeze values),DeepSeek,2127.0,2.8767123287671232,0.9757152946561426,38.2228490832158,62.34132581100141,0.009654463099999955,0.055426068793854526,0.048227796854470734,0.007198271939383792
WIND_02,haoxin1998,60.0,0.0,0.9746597967285128,30.0,65.0,0.012749999999999997,0.08814714041985001,0.07202398133598543,0.01612315908386458
WIND_01,haoxin1998,60.0,0.0,0.9745797234924191,31.666666666666664,65.0,0.012551597700000021,0.08885131433156665,0.07202398133598543,0.016827332995581215
glm-5.1-zero-shot-with-freeze-values,Z.ai,56.0,6.666666666666667,0.9739626045336375,19.642857142857142,46.42857142857143,0.025353691700000014,0.07938442282608452,0.06423304696712724,0.015151375858957275
CAIR_0705_02,hliu763,60.0,0.0,0.9735431807623272,30.0,66.66666666666666,0.011257729200000005,0.08732860077816666,0.07202398133598543,0.015304619442181228
GPT-4.5-Preview-2025-02-27 (scratchpad with freeze values),OpenAI,917.0,1.0787486515641855,0.9726270500598656,36.31406761177753,63.24972737186477,0.010531249999999992,0.05552015924398719,0.048111872648575464,0.007408286595411727
voicetree-axiom-2,Voicetree,103.0,0.0,0.9719407739158286,41.74757281553398,66.99029126213593,0.0092,0.09976476279323299,0.09477222512484502,0.004992537668387961
Claude-Opus-4-5-20251101 (zero shot with freeze values),Anthropic,336.0,0.0,0.9718333859005103,37.202380952380956,69.34523809523809,0.009000000000000001,0.05054788916666667,0.0434371329425758,0.007110756224090874
Summer,hliu763,103.0,0.0,0.9715723388710562,34.95145631067961,63.10679611650486,0.009683999999999998,0.09596482058656311,0.09477222512484502,0.001192595461718085
claude-opus-4-8-adaptive-thinking-max-web-search-128000-zero-shot-with-freeze-values,Anthropic,99.0,0.0,0.9707218938833463,21.21212121212121,43.43434343434344,0.029500000000000005,0.07965952525252526,0.07693239834954944,0.0027271269029758155
Gemini-3-Pro-Preview (zero shot with freeze values),Google,692.0,0.2881844380403458,0.9705104582197024,43.641618497109825,69.07514450867052,0.007000000000000004,0.06203471989884393,0.05759692320920593,0.004437796689638
gpt-5.5-2026-04-23-high-web-search-zero-shot-with-freeze-values,OpenAI,99.0,0.0,0.97021783772964,21.21212121212121,55.55555555555556,0.014999999999999902,0.07904395959595958,0.07693239834954944,0.00211156124641014
megaflash,limeforecast,107.0,0.0,0.9699259711225581,24.299065420560748,55.140186915887845,0.01620000000000002,0.15409369158878505,0.14725894712022777,0.00683474446855728
Grok-4-Fast-Reasoning (zero shot with freeze values),xAI,1057.0,0.3770028275212064,0.9687978924023203,34.91012298959319,64.52223273415326,0.010000000000000002,0.06524610248817407,0.06019838637241475,0.0050477161157593195
GLM-4.5-Air-FP8 (scratchpad with freeze values),Z.ai,371.0,11.031175059952037,0.967277474163414,34.77088948787062,57.95148247978437,0.0145,0.06474014570318876,0.05073474657669015,0.014005399126498605
"Grok 4.20 (Beta, B)",xAI,127.0,0.0,0.9672453267795132,12.598425196850393,41.732283464566926,0.025000000000000022,0.13502750984251966,0.13438293477694563,0.0006445750655740268
foresight-32b-V2,LightningRodLabs,63.0,0.0,0.9669939408232969,39.682539682539684,60.317460317460316,0.009999999999999995,0.06347897222222222,0.06161875507724831,0.0018602171449739122
"Grok 4.20 (Beta, C)",xAI,119.0,0.0,0.9665245122852253,23.52941176470588,50.42016806722689,0.018950328399999994,0.09146448673844537,0.09869508054910643,-0.0072305938106610596
"Grok 4.20 (Beta, D)",xAI,119.0,0.0,0.9665245122852253,23.52941176470588,50.42016806722689,0.018950328399999994,0.09146448673844537,0.09869508054910643,-0.0072305938106610596
voicetree-decisionflow-v1_scurve_inverse,Voicetree,107.0,0.0,0.9665091084773278,5.607476635514018,26.168224299065418,0.06424999999999997,0.14759126792803737,0.14725894712022777,0.00033232080780959405
